id_candidato,anios_experiencia,nivel_educativo,skills_deseables_ratio,peso_certificaciones,decision_final
2765,7.3,terciario,0.68,9,0
650,0.9,secundario,0.15,0,0
3742,4.2,terciario,0.66,7,1
4154,19.1,terciario,0.72,5,1
4993,1.0,universitario,0.97,22,1
3035,10.0,terciario,0.64,5,0
706,0.8,secundario,0.06,0,0
997,1.5,secundario,0.34,2,0
628,1.3,secundario,0.17,1,0
4708,1.7,universitario,0.91,23,1
2448,0.5,universitario,0.5,2,0
3540,3.6,terciario,0.73,9,0
5099,0.7,universitario,0.9,22,1
4927,0.8,universitario,1.0,23,1
4023,11.8,universitario,0.72,4,1
399,0.7,secundario,0.31,1,0
2220,0.5,universitario,0.61,4,0
2637,7.9,universitario,0.72,12,1
4304,21.4,universitario,0.86,3,1
3355,6.1,terciario,0.62,9,1
3826,5.8,terciario,0.52,10,1
1361,0.7,terciario,0.39,0,0
1659,0.6,universitario,0.53,0,0
3370,6.7,terciario,0.58,11,0
4147,17.4,universitario,0.8,1,1
857,0.3,secundario,0.17,0,0
1111,1.0,terciario,0.15,1,0
2895,5.7,terciario,0.8,8,0
3006,3.3,terciario,0.73,12,0
1971,0.8,universitario,0.68,0,0
2330,0.7,universitario,0.64,3,1
1274,1.1,secundario,0.26,0,0
1933,0.1,universitario,0.65,1,0
477,0.9,terciario,0.15,1,0
3954,23.2,universitario,0.87,0,1
3717,5.2,universitario,0.74,10,1
899,1.8,secundario,0.0,0,0
479,0.5,secundario,0.12,1,0
1259,1.3,terciario,0.31,1,0
3920,16.7,terciario,0.67,0,1
2893,3.9,terciario,0.5,15,1
2341,0.9,universitario,0.62,3,0
4136,16.6,terciario,0.69,3,1
2763,10.0,universitario,0.71,13,0
4113,16.0,universitario,0.71,6,1
3058,6.5,terciario,0.57,9,1
4028,14.0,universitario,0.97,4,1
1139,1.7,terciario,0.17,0,0
3360,7.3,terciario,0.46,16,0
1445,0.9,secundario,0.13,1,0
2606,4.3,universitario,0.4,16,0
1822,0.6,universitario,0.57,4,0
4764,1.3,universitario,0.9,21,1
276,0.0,terciario,0.21,1,0
4994,1.3,universitario,0.91,25,1
2010,0.7,universitario,0.54,2,0
146,0.7,secundario,0.2,0,0
3510,5.6,terciario,0.72,10,1
4775,1.3,universitario,0.92,21,1
1176,0.7,secundario,0.24,0,0
2930,3.0,terciario,0.75,11,0
1605,0.6,universitario,0.68,3,0
2410,0.5,universitario,0.68,3,0
1537,1.2,secundario,0.33,1,0
2519,0.6,universitario,0.73,2,0
4087,10.0,terciario,0.67,15,1
3199,7.4,terciario,0.68,5,1
4689,1.0,universitario,0.96,22,1
384,0.9,secundario,0.14,0,0
5019,1.1,universitario,0.94,20,1
943,1.3,secundario,0.18,1,0
1614,0.6,universitario,0.5,2,0
1269,0.4,secundario,0.13,0,0
1693,0.5,universitario,0.63,0,0
3561,5.6,terciario,0.52,10,0
3266,4.4,terciario,0.84,7,1
2385,0.5,universitario,0.55,2,0
3676,9.1,universitario,0.54,13,1
4971,1.6,universitario,0.96,21,0
2406,0.9,universitario,0.63,1,0
1053,0.2,secundario,0.14,0,0
5043,0.4,universitario,0.96,20,1
3154,6.5,terciario,0.71,14,0
4660,0.2,universitario,0.91,20,1
2786,3.9,terciario,0.5,18,0
1590,1.0,secundario,0.14,0,0
1028,0.8,secundario,0.11,2,0
1310,1.0,secundario,0.0,0,0
4074,17.5,universitario,0.59,5,1
3646,6.5,terciario,0.58,10,0
4462,21.4,universitario,0.73,2,1
2022,0.6,universitario,0.67,3,0
452,0.8,terciario,0.2,0,0
4999,0.1,universitario,0.9,23,1
3494,5.9,terciario,0.46,12,0
2822,9.8,terciario,0.47,5,1
5082,0.6,universitario,1.0,23,1
819,0.7,secundario,0.2,1,0
2803,3.5,universitario,0.78,13,0
2823,3.3,terciario,0.52,7,1
4662,1.3,universitario,0.92,20,1
409,0.1,secundario,0.34,2,0
1776,0.4,universitario,0.75,5,0
934,0.4,secundario,0.33,0,0
467,0.8,secundario,0.11,0,0
4607,0.5,universitario,0.93,22,0
2179,0.7,universitario,0.54,1,0
4139,19.5,universitario,0.89,2,1
4947,2.1,universitario,0.92,21,1
4580,19.7,terciario,0.82,10,1
1847,0.6,universitario,0.73,4,0
120,0.7,secundario,0.15,2,0
1423,2.0,secundario,0.18,0,0
3668,10.0,terciario,0.71,12,1
2622,4.9,universitario,0.84,9,0
319,0.5,secundario,0.12,2,0
1588,0.7,secundario,0.11,1,0
539,1.1,secundario,0.15,0,0
4275,23.3,universitario,0.75,7,1
2851,3.0,terciario,0.55,13,0
3389,5.8,universitario,0.67,5,0
3534,4.3,universitario,0.61,7,1
2626,5.6,terciario,0.57,14,1
4751,1.1,universitario,0.96,24,1
3789,3.0,universitario,0.49,5,0
2864,6.2,terciario,0.64,9,0
903,1.5,secundario,0.23,2,0
3098,6.0,universitario,0.71,11,0
2329,1.1,universitario,0.59,1,0
4886,0.9,universitario,0.9,24,1
2178,0.5,universitario,0.69,0,0
683,1.4,secundario,0.13,2,0
304,0.4,secundario,0.15,0,0
4447,18.1,terciario,0.47,9,1
3579,4.9,terciario,0.7,5,1
3030,7.2,terciario,0.74,5,0
3186,7.2,universitario,0.76,6,1
1119,0.8,secundario,0.19,0,0
1684,0.4,universitario,0.66,0,0
1133,1.5,secundario,0.21,0,0
1819,0.7,universitario,0.7,1,0
1382,0.0,secundario,0.12,1,0
2599,0.3,universitario,0.63,0,0
3451,6.7,universitario,0.7,14,0
618,0.6,secundario,0.16,0,0
1848,0.4,universitario,0.54,0,0
4753,1.4,universitario,0.98,24,1
3833,5.6,terciario,0.56,12,1
769,0.4,terciario,0.27,0,0
4160,18.5,terciario,0.81,0,1
3127,6.6,universitario,0.8,8,1
5033,0.6,universitario,0.9,23,0
3387,6.1,universitario,0.7,10,1
2751,5.4,terciario,0.55,9,1
4554,17.5,universitario,0.7,1,1
3293,6.4,terciario,0.72,5,0
2225,0.4,universitario,0.65,3,0
3476,6.6,terciario,0.75,5,1
3493,4.6,terciario,0.68,10,0
3586,4.8,terciario,0.54,12,1
860,1.1,secundario,0.1,1,0
3480,4.6,universitario,0.56,15,0
4541,15.3,terciario,0.65,9,1
2627,6.6,terciario,0.63,5,0
4959,1.5,universitario,0.92,23,1
1008,1.1,secundario,0.4,0,0
2784,7.9,terciario,0.63,6,1
315,0.9,terciario,0.04,0,0
3432,5.8,terciario,0.75,8,0
4559,12.8,terciario,0.88,4,1
794,1.3,terciario,0.25,2,0
1604,0.4,universitario,0.51,1,0
2515,0.3,universitario,0.65,0,0
2219,0.8,universitario,0.53,2,0
3959,11.2,universitario,0.61,3,1
2563,0.5,universitario,0.48,0,1
3736,7.0,universitario,0.61,17,1
4206,17.1,terciario,0.6,8,1
4579,16.2,universitario,0.72,3,1
297,0.5,secundario,0.18,0,0
4768,1.1,universitario,0.99,23,1
1644,0.5,universitario,0.65,0,0
1431,0.9,secundario,0.33,1,0
980,1.6,secundario,0.1,1,0
4603,1.1,universitario,0.94,24,0
3602,10.0,terciario,0.74,5,0
3995,25.8,universitario,0.73,9,1
5091,1.2,universitario,1.0,23,1
988,0.8,secundario,0.18,1,0
1446,1.5,secundario,0.2,1,0
169,0.4,secundario,0.22,0,0
4311,21.0,universitario,0.79,5,1
1916,0.3,universitario,0.55,4,0
669,0.5,secundario,0.25,2,0
2268,0.4,universitario,0.58,4,0
197,0.0,secundario,0.25,0,0
4282,15.7,terciario,0.64,3,0
3454,5.4,terciario,0.81,5,1
240,0.9,secundario,0.11,1,0
5055,0.7,universitario,0.91,23,1
2703,8.6,terciario,0.54,5,0
4124,18.1,terciario,0.62,4,1
4873,1.7,universitario,0.9,23,1
1707,0.7,universitario,0.64,0,0
1730,0.5,universitario,0.66,1,0
1640,0.6,universitario,0.65,3,0
1795,0.7,universitario,0.61,3,0
2160,0.9,universitario,0.65,1,1
564,0.5,secundario,0.28,2,0
2431,0.3,universitario,0.56,0,0
3144,4.7,terciario,0.72,8,0
4835,0.6,universitario,1.0,23,1
695,1.7,secundario,0.22,0,0
3915,24.9,terciario,0.81,6,1
726,0.7,secundario,0.17,1,0
551,0.3,terciario,0.24,2,0
1600,1.1,secundario,0.17,1,0
2557,0.4,universitario,0.68,1,0
4823,1.3,universitario,1.0,23,1
3085,7.3,terciario,0.67,7,0
1670,0.1,universitario,0.63,4,0
1135,1.0,secundario,0.24,0,0
3619,9.1,terciario,0.84,6,0
1658,0.5,universitario,0.75,2,0
3725,6.8,universitario,0.58,13,0
4765,1.2,universitario,0.9,25,1
251,0.8,secundario,0.18,0,1
1521,0.1,secundario,0.33,1,0
2112,0.4,universitario,0.68,2,0
2787,3.0,terciario,0.64,9,0
1887,0.5,universitario,0.64,0,0
189,0.6,secundario,0.02,2,0
558,0.0,secundario,0.15,0,0
1406,0.8,secundario,0.0,1,0
3026,7.2,universitario,0.59,15,1
3371,8.7,universitario,0.52,11,1
3328,6.0,universitario,0.7,9,1
2089,0.5,universitario,0.59,3,0
3855,15.3,terciario,0.61,1,1
3747,5.2,terciario,0.82,16,0
932,1.1,secundario,0.11,0,0
340,0.6,secundario,0.4,0,0
4782,0.9,universitario,0.98,23,1
3123,6.4,terciario,0.59,5,1
3249,5.1,terciario,0.58,12,0
2047,0.1,universitario,0.61,3,1
2876,7.9,terciario,0.7,8,0
293,0.6,secundario,0.31,1,0
4950,0.6,universitario,1.0,21,1
5040,1.3,universitario,0.96,23,1
1045,1.0,secundario,0.16,0,0
1369,1.3,secundario,0.34,1,0
4332,14.3,terciario,0.81,4,1
2408,0.6,universitario,0.51,3,0
4525,19.3,universitario,0.76,8,1
4812,1.0,universitario,0.93,25,1
2414,0.7,universitario,0.64,4,0
3315,6.2,terciario,0.58,5,1
2833,4.6,universitario,0.66,9,0
2027,0.5,universitario,0.43,0,0
4328,19.1,terciario,0.73,10,1
4777,0.6,universitario,0.96,21,1
901,1.5,secundario,0.15,0,0
3772,7.3,universitario,0.69,8,1
4294,17.9,terciario,0.94,4,1
3069,3.0,terciario,0.69,13,0
4894,1.4,universitario,0.94,24,1
4469,20.0,universitario,0.69,0,1
2877,4.1,terciario,0.62,13,0
3071,7.2,universitario,0.58,5,1
3968,24.4,terciario,0.65,8,1
1844,0.2,universitario,0.75,1,0
4049,17.1,universitario,0.86,2,1
3903,16.4,universitario,0.69,4,1
2125,0.4,universitario,0.66,0,0
2375,0.4,universitario,0.51,0,0
200,1.0,secundario,0.22,0,0
5022,0.8,universitario,0.97,23,1
3508,6.1,universitario,0.61,8,0
4346,10.0,terciario,0.93,0,1
4720,1.3,universitario,0.9,23,1
5017,1.5,universitario,0.94,23,1
292,0.9,secundario,0.22,1,0
4797,1.3,universitario,0.94,24,1
1885,0.3,universitario,0.59,0,0
1633,1.0,universitario,0.53,3,0
2935,4.0,universitario,0.65,6,1
4545,13.9,terciario,0.78,6,1
5016,0.5,universitario,1.0,22,1
1699,0.8,universitario,0.69,1,0
1880,0.5,universitario,0.53,4,0
5001,1.6,universitario,0.96,23,1
2675,3.0,terciario,0.76,8,0
3499,6.7,terciario,0.68,11,1
4076,14.7,terciario,0.69,5,1
3871,17.2,terciario,0.65,5,1
267,0.2,terciario,0.11,1,0
1852,0.2,universitario,0.66,2,1
1580,1.1,secundario,0.22,1,0
1125,0.6,secundario,0.34,1,0
1889,0.4,universitario,0.58,0,0
2365,0.6,universitario,0.46,2,0
2574,0.6,universitario,0.75,3,0
1923,0.7,universitario,0.59,0,0
1321,0.3,secundario,0.18,1,0
1767,0.5,universitario,0.48,3,0
3061,6.7,terciario,0.68,8,0
253,0.9,secundario,0.23,1,0
2635,5.6,terciario,0.68,5,1
4789,1.6,universitario,0.92,23,1
2079,0.5,universitario,0.58,1,0
1570,0.7,secundario,0.03,1,0
2908,4.4,universitario,0.58,9,0
2613,5.5,terciario,0.63,5,1
3044,4.6,universitario,0.57,11,1
3081,7.3,terciario,0.56,14,0
4923,1.1,universitario,1.0,21,1
3118,7.1,terciario,0.61,9,1
1667,0.4,universitario,0.53,0,0
132,0.9,secundario,0.12,0,0
1038,1.2,secundario,0.17,0,0
1316,0.8,secundario,0.33,2,0
2038,0.6,universitario,0.75,1,0
1230,1.3,secundario,0.21,1,0
410,0.6,secundario,0.15,1,0
5002,0.4,universitario,0.99,23,1
2269,0.6,universitario,0.5,1,0
3214,4.7,universitario,0.66,9,1
596,1.3,secundario,0.1,2,0
306,0.6,terciario,0.14,1,0
2774,6.6,universitario,0.53,8,0
3458,5.4,terciario,0.64,9,0
3931,18.4,terciario,0.74,6,1
406,1.6,secundario,0.09,1,0
3894,18.1,terciario,0.81,7,1
2302,0.4,universitario,0.64,2,0
1162,0.5,secundario,0.2,3,0
944,1.3,terciario,0.14,2,0
3973,15.0,universitario,0.71,1,1
2352,0.5,universitario,0.71,3,0
312,0.9,secundario,0.06,1,0
4098,18.7,universitario,0.89,10,1
780,0.6,secundario,0.19,0,0
666,0.9,terciario,0.19,0,0
3391,10.0,universitario,0.76,6,1
4455,19.1,terciario,0.8,8,1
781,0.4,secundario,0.32,0,0
281,0.3,secundario,0.22,1,0
4380,16.5,terciario,0.68,2,1
2596,0.6,universitario,0.58,3,0
2417,0.7,universitario,0.59,0,0
4374,17.5,terciario,0.8,3,1
379,0.7,secundario,0.25,2,0
3784,7.2,universitario,0.73,15,1
4863,0.2,universitario,0.99,22,1
533,1.0,secundario,0.28,2,0
390,0.8,secundario,0.29,1,0
1128,0.0,secundario,0.39,1,0
636,0.4,secundario,0.33,0,0
3732,4.8,universitario,0.63,13,0
289,0.1,secundario,0.19,1,0
2275,0.6,universitario,0.61,2,0
4016,17.6,terciario,0.71,13,1
1963,0.6,universitario,0.52,3,0
371,1.3,secundario,0.11,0,0
1829,0.4,universitario,0.64,3,0
4176,19.5,terciario,0.73,2,1
2258,0.3,universitario,0.51,3,0
4032,22.6,terciario,0.89,7,1
212,0.3,secundario,0.25,0,0
2485,0.5,universitario,0.56,1,0
321,0.4,secundario,0.27,0,1
728,0.6,secundario,0.08,1,0
1282,0.3,terciario,0.13,1,0
3482,3.8,terciario,0.68,8,0
2523,0.7,universitario,0.75,1,0
891,0.8,secundario,0.27,1,0
4376,17.2,terciario,0.75,9,1
562,0.6,secundario,0.18,0,0
4503,18.7,universitario,0.74,13,1
652,0.1,terciario,0.21,0,0
3230,6.1,terciario,0.71,7,0
1545,0.7,secundario,0.15,0,0
299,0.9,secundario,0.22,0,0
2690,7.9,universitario,0.77,8,1
503,0.9,secundario,0.38,0,0
4060,20.5,universitario,0.73,10,1
4290,19.0,terciario,0.65,3,1
4864,0.5,universitario,0.94,25,1
2196,0.6,universitario,0.57,4,0
3001,8.4,universitario,0.59,6,1
4563,18.4,terciario,0.71,6,1
751,0.6,terciario,0.15,0,0
809,0.7,terciario,0.32,0,0
1581,0.5,terciario,0.28,0,0
4515,18.9,universitario,0.73,12,1
3166,9.1,universitario,0.78,13,1
2496,0.7,universitario,0.5,0,0
1870,0.6,universitario,0.51,3,0
415,0.6,secundario,0.16,0,0
3862,16.6,terciario,0.6,5,1
5010,0.5,universitario,0.96,25,1
214,0.6,secundario,0.18,0,0
1061,0.0,secundario,0.16,0,0
3011,6.2,terciario,0.65,15,1
3506,7.1,terciario,0.72,11,0
1724,0.4,universitario,0.6,2,0
3423,7.8,terciario,0.69,14,0
5100,1.1,universitario,1.0,24,1
1919,0.7,universitario,0.62,1,0
3295,5.5,terciario,0.64,14,1
3108,5.4,universitario,0.74,9,0
3515,9.4,terciario,0.49,12,1
4629,0.6,universitario,0.99,23,1
1998,0.2,universitario,0.47,2,0
2019,0.4,universitario,0.75,3,0
1371,0.9,secundario,0.25,0,0
4277,22.5,universitario,0.9,5,1
5063,1.4,universitario,0.91,24,1
4984,1.2,universitario,0.98,22,1
4195,13.9,terciario,0.82,8,1
3260,3.0,terciario,0.67,11,0
1914,0.4,universitario,0.5,2,0
2527,0.6,universitario,0.49,4,0
4051,15.0,universitario,0.73,8,1
4529,15.3,terciario,0.66,4,1
2243,0.2,universitario,0.61,0,0
1727,0.4,universitario,0.5,1,0
890,1.6,secundario,0.27,0,0
3887,15.2,universitario,0.65,7,1
1965,0.6,universitario,0.46,5,0
2966,8.3,terciario,0.56,10,1
972,0.2,secundario,0.02,0,0
3372,5.8,terciario,0.67,5,0
3934,17.8,universitario,0.77,4,1
174,1.4,secundario,0.29,0,0
1853,0.5,universitario,0.56,0,0
1522,1.0,secundario,0.15,1,0
4322,18.6,terciario,0.55,1,1
4794,1.5,universitario,1.0,23,0
4470,17.1,universitario,0.93,3,1
4676,1.8,universitario,0.94,22,1
3910,17.5,terciario,0.71,5,1
2345,0.5,universitario,0.72,5,0
3148,3.0,universitario,0.7,13,0
2546,0.3,universitario,0.56,3,0
595,1.3,secundario,0.22,1,0
3231,3.0,terciario,0.53,10,1
4422,18.6,universitario,0.75,11,1
4498,11.8,terciario,0.72,11,1
1265,1.0,secundario,0.36,0,0
3835,7.7,terciario,0.73,10,1
1831,0.4,universitario,0.55,1,0
4913,1.2,universitario,0.99,25,1
2503,0.3,universitario,0.61,4,0
3504,6.5,universitario,0.59,7,0
719,0.6,secundario,0.18,0,0
1798,0.2,universitario,0.55,1,0
3694,4.9,universitario,0.64,17,0
2058,0.6,universitario,0.58,2,0
1322,1.7,secundario,0.14,0,0
2174,0.7,universitario,0.47,2,0
3511,3.4,terciario,0.71,12,1
970,0.8,secundario,0.29,0,0
2819,5.5,terciario,0.81,5,1
1143,2.1,secundario,0.23,0,0
1462,1.0,secundario,0.23,0,0
457,0.0,secundario,0.08,3,0
1263,1.1,secundario,0.07,1,0
2866,6.4,universitario,0.57,16,0
3353,4.8,universitario,0.66,6,1
1539,0.4,secundario,0.23,1,0
3704,6.4,terciario,0.64,13,1
5041,1.4,universitario,0.95,25,1
4694,0.8,universitario,0.9,25,1
3740,5.6,universitario,0.56,11,1
1354,1.7,secundario,0.18,0,0
3466,5.4,universitario,0.77,13,0
433,1.1,secundario,0.14,3,0
3795,5.9,terciario,0.69,13,0
3669,4.7,universitario,0.49,11,0
2829,3.9,terciario,0.77,16,0
3768,7.4,universitario,0.57,8,0
1731,0.2,universitario,0.43,1,0
1217,0.6,secundario,0.12,1,0
1950,0.5,universitario,0.5,4,0
3655,8.5,terciario,0.67,5,1
3254,4.7,terciario,0.7,6,0
3366,3.0,terciario,0.67,13,1
1766,0.6,universitario,0.66,4,0
546,0.6,secundario,0.18,1,0
2346,0.4,universitario,0.56,5,0
553,0.7,secundario,0.35,0,0
1652,0.6,universitario,0.69,5,0
4535,22.7,terciario,0.77,8,1
3055,9.7,universitario,0.78,8,0
115,1.0,secundario,0.09,0,0
3729,5.1,terciario,0.69,13,1
1046,0.0,secundario,0.18,0,0
348,1.0,secundario,0.29,0,0
4798,1.2,universitario,0.9,20,1
461,0.1,secundario,0.16,1,0
4757,1.2,universitario,0.96,21,1
1715,0.4,universitario,0.63,1,0
2404,0.2,universitario,0.54,2,0
4242,13.8,universitario,0.92,10,1
3269,5.9,terciario,0.63,5,1
2579,0.4,universitario,0.57,2,0
4315,18.2,universitario,0.8,6,1
4281,16.0,terciario,0.56,3,1
4985,1.1,universitario,0.99,22,1
3264,5.7,terciario,0.65,16,1
591,0.2,terciario,0.32,2,0
963,0.2,secundario,0.11,0,0
1841,0.4,universitario,0.6,3,0
4200,15.5,universitario,0.84,15,1
4486,18.6,universitario,0.74,14,1
2548,0.4,universitario,0.56,5,0
4331,13.2,universitario,0.82,8,1
607,1.2,secundario,0.15,1,0
2778,3.0,universitario,0.66,14,0
3096,10.0,universitario,0.62,13,1
2043,0.7,universitario,0.63,1,0
1323,1.1,secundario,0.09,0,0
1214,0.6,secundario,0.04,1,0
2006,0.7,universitario,0.64,4,1
3524,6.8,terciario,0.85,8,0
1978,0.7,universitario,0.75,2,0
4773,0.9,universitario,0.92,23,1
534,1.1,secundario,0.17,2,0
2465,0.4,universitario,0.53,2,0
3255,3.0,universitario,0.75,10,0
2936,7.8,terciario,0.64,11,1
2193,0.8,universitario,0.66,0,0
3111,5.2,universitario,0.77,11,1
3263,7.1,terciario,0.58,12,0
3046,5.9,terciario,0.77,9,0
4017,12.0,terciario,0.79,3,1
3017,8.5,terciario,0.55,13,0
1203,1.3,secundario,0.23,0,0
1549,1.1,secundario,0.19,1,0
1821,0.5,universitario,0.62,1,0
4619,0.8,universitario,0.97,22,1
3943,23.5,terciario,0.73,7,1
257,0.9,secundario,0.21,2,0
3079,7.9,terciario,0.52,8,1
1874,0.5,universitario,0.55,1,0
716,0.9,secundario,0.33,1,0
744,1.2,terciario,0.24,1,0
2036,0.3,universitario,0.48,0,0
4378,18.4,terciario,0.66,6,1
1169,0.8,secundario,0.05,1,0
4555,15.3,terciario,0.73,3,1
4255,17.0,terciario,0.74,11,1
4340,17.7,terciario,0.82,6,1
4969,0.5,universitario,0.96,22,1
431,0.9,secundario,0.25,0,0
2158,0.2,universitario,0.62,2,0
2747,4.0,terciario,0.75,7,1
2292,1.0,universitario,0.72,0,0
723,0.4,secundario,0.18,0,0
1696,0.6,universitario,0.75,1,0
3016,7.7,universitario,0.49,12,0
4922,0.5,universitario,1.0,21,1
3999,16.9,universitario,0.83,7,1
2020,0.4,universitario,0.54,1,0
4274,23.2,terciario,0.84,4,1
4578,17.6,universitario,0.86,5,0
856,0.7,terciario,0.4,0,0
619,1.0,secundario,0.3,2,0
3904,15.7,universitario,0.8,8,1
133,0.9,secundario,0.2,0,0
3038,5.8,terciario,0.85,5,0
1258,0.7,terciario,0.21,0,0
845,0.7,secundario,0.17,0,0
1598,1.0,secundario,0.22,2,0
3560,5.9,terciario,0.63,6,0
3856,16.9,terciario,0.87,0,1
2692,4.5,terciario,0.71,13,0
884,0.1,terciario,0.27,1,0
3594,3.1,universitario,0.65,10,0
3050,7.6,universitario,0.52,5,0
330,0.9,secundario,0.01,1,0
958,0.5,secundario,0.25,0,0
2367,0.6,universitario,0.61,2,0
4375,14.5,terciario,0.8,4,0
509,1.3,secundario,0.3,0,0
271,0.4,secundario,0.24,1,0
641,0.0,secundario,0.25,0,0
2311,0.4,universitario,0.75,1,0
2405,0.5,universitario,0.64,1,0
2668,7.0,terciario,0.59,9,1
714,1.2,secundario,0.22,2,0
2202,0.9,universitario,0.68,1,0
1909,0.5,universitario,0.52,0,0
3539,7.0,universitario,0.64,10,0
1262,0.8,secundario,0.13,1,0
4326,19.2,terciario,0.69,6,1
3220,4.5,terciario,0.55,12,1
3753,8.3,universitario,0.57,7,0
1711,0.6,universitario,0.65,0,0
2033,0.7,universitario,0.67,2,0
3128,8.0,universitario,0.85,11,0
665,0.3,secundario,0.09,1,0
3672,4.1,terciario,0.67,12,1
4348,19.1,universitario,0.78,12,1
2489,0.7,universitario,0.66,2,0
1572,0.0,secundario,0.25,0,0
2731,5.9,terciario,0.68,7,1
1936,0.3,universitario,0.68,2,0
5029,1.4,universitario,0.91,22,1
3576,6.0,terciario,0.67,5,1
1634,0.6,universitario,0.54,4,0
4428,22.3,universitario,0.78,13,1
2585,0.2,universitario,0.53,5,0
4308,19.5,universitario,0.67,9,1
1273,0.4,terciario,0.17,2,0
1528,1.6,secundario,0.26,0,0
426,1.2,terciario,0.25,1,0
1152,1.0,secundario,0.33,0,0
3420,6.6,terciario,0.72,9,0
4822,1.1,universitario,0.97,23,1
3965,13.7,universitario,0.71,3,0
2704,6.3,universitario,0.46,15,0
1839,0.8,universitario,0.7,3,0
1297,0.4,secundario,0.19,0,0
721,0.2,secundario,0.05,0,0
1475,0.3,secundario,0.2,0,0
2980,3.2,terciario,0.84,11,0
1290,0.1,secundario,0.12,1,0
429,1.1,secundario,0.22,2,0
749,0.5,secundario,0.06,0,0
998,1.3,secundario,0.3,0,0
3983,10.0,terciario,0.86,6,1
1224,0.4,terciario,0.16,0,0
1992,0.4,universitario,0.71,0,0
4744,1.5,universitario,0.94,25,1
4892,1.3,universitario,0.97,20,1
4630,1.0,universitario,0.99,23,1
4335,17.5,terciario,0.89,4,1
1694,0.6,universitario,0.63,1,0
3413,5.2,terciario,0.4,10,0
2648,3.6,terciario,0.51,6,0
1646,0.3,universitario,0.72,1,0
4437,16.5,universitario,0.66,5,0
1124,0.4,secundario,0.33,0,0
2072,0.3,universitario,0.64,3,0
5089,1.0,universitario,1.0,23,1
1815,0.2,universitario,0.63,1,0
1818,0.3,universitario,0.67,0,0
1578,1.6,secundario,0.2,0,0
910,1.1,secundario,0.13,0,0
2951,8.0,universitario,0.67,11,0
1079,0.5,terciario,0.07,0,0
4788,1.2,universitario,0.96,22,1
4996,0.4,universitario,1.0,23,1
1785,0.5,universitario,0.61,4,0
4761,1.7,universitario,0.9,21,1
1615,0.5,universitario,0.57,4,0
2505,0.2,universitario,0.72,0,0
2122,0.5,universitario,0.47,1,0
4654,0.8,universitario,0.9,20,1
1868,0.5,universitario,0.64,0,0
275,1.2,secundario,0.08,0,0
1655,0.5,universitario,0.48,0,0
4316,18.5,terciario,0.66,6,1
1583,0.9,secundario,0.13,2,0
4562,21.8,universitario,0.91,4,1
318,0.6,secundario,0.07,0,0
4015,10.0,terciario,0.78,3,0
3821,4.5,terciario,0.65,12,1
791,1.1,secundario,0.28,1,0
2678,4.5,universitario,0.6,6,0
2334,0.7,universitario,0.5,2,0
2339,0.5,universitario,0.75,4,0
1207,1.2,secundario,0.21,1,0
1890,0.7,universitario,0.63,0,1
3289,6.4,universitario,0.78,16,1
2537,0.8,universitario,0.75,1,0
712,0.8,secundario,0.33,1,0
3761,4.0,terciario,0.69,7,0
3812,7.3,universitario,0.64,8,1
677,1.3,secundario,0.3,1,0
2164,0.7,universitario,0.67,1,0
4536,20.2,terciario,0.72,13,1
1281,0.5,terciario,0.18,2,0
989,1.1,secundario,0.15,0,0
3229,3.9,terciario,0.71,8,0
1833,0.4,universitario,0.51,2,0
2764,4.6,terciario,0.82,5,0
918,2.1,secundario,0.11,1,0
3378,9.6,universitario,0.55,15,0
1960,0.6,universitario,0.62,5,0
309,0.0,secundario,0.16,2,0
394,0.7,secundario,0.13,1,0
1220,1.5,secundario,0.2,0,0
2314,0.8,universitario,0.75,2,0
1710,0.7,universitario,0.5,2,0
1365,0.9,terciario,0.28,0,0
1091,1.4,secundario,0.24,0,0
4298,21.5,terciario,0.71,5,1
1717,0.3,universitario,0.43,0,0
454,0.5,secundario,0.19,0,0
4658,1.1,universitario,0.94,24,1
2123,0.5,universitario,0.52,1,0
3791,6.4,terciario,0.48,7,1
2656,3.0,universitario,0.85,9,0
3149,4.4,universitario,0.52,8,0
1329,0.6,secundario,0.32,0,0
360,1.7,secundario,0.25,0,0
1620,0.3,universitario,0.73,0,0
1878,0.2,universitario,0.55,0,0
4840,1.8,universitario,0.92,21,1
1871,0.3,universitario,0.35,1,0
4454,16.7,terciario,0.66,5,1
153,0.3,secundario,0.14,1,0
3574,4.9,terciario,0.44,11,0
4784,1.3,universitario,1.0,22,1
4512,17.8,terciario,0.57,0,1
2510,0.6,universitario,0.7,0,0
2888,4.7,universitario,0.65,11,1
2445,0.5,universitario,0.5,1,0
1134,0.4,secundario,0.35,1,0
1198,0.8,secundario,0.3,0,0
644,0.4,secundario,0.19,1,0
1147,0.4,secundario,0.12,2,0
1995,0.5,universitario,0.58,4,1
4477,19.1,terciario,0.62,0,1
131,0.9,secundario,0.22,2,0
826,0.5,secundario,0.25,1,0
5062,1.4,universitario,0.94,23,1
4819,1.2,universitario,1.0,25,1
4004,16.5,universitario,0.81,5,1
1527,0.8,secundario,0.15,1,0
2598,0.6,universitario,0.55,3,0
537,0.3,secundario,0.06,1,0
2571,0.5,universitario,0.47,3,0
1013,1.4,terciario,0.15,0,0
4323,11.1,terciario,0.72,3,1
4453,22.8,universitario,0.72,6,1
4613,1.2,universitario,0.96,22,1
